query_id,cardinality
0,49
1,6
2,5
3,24
4,40419
5,10661290
6,4213224
7,18465630
8,329156
9,130166
10,570556
11,3141260
12,1241471
13,5447992
14,572
15,774
16,13
17,1978
18,35625519
19,4042900
20,628542
21,19821540
22,7701452
23,2750812
24,311223
25,3089613
26,743414
27,5258165
28,2071101
29,25990674
30,1782
31,5322
32,4240999
33,13094
34,2
35,49383
36,75118
37,18869
38,118377
39,179831
40,3021302
41,1020583
42,3838680
43,583628
44,323133
45,1070253
46,4082281
47,1226404
48,9158505
49,4992920
50,15545010
51,9432819
52,10494
53,10449
54,21669
55,123483
56,100657
57,2604648
58,108
59,9051712
60,7326816
61,1158689
62,1708937
63,1250732
64,609
65,254497
66,186426
67,285
68,98
69,4014762
70,13079978
71,4192
72,238545
73,1839690
74,340946
75,995247
76,3219
77,1026935
78,1214986
79,38825
80,44530
81,451037
82,495
83,38242
84,1542013
85,5654215
86,54236
87,792721
88,16
89,4
90,58359
91,113819558
92,81069332
93,249
94,39214
95,249
96,1099373
97,135401
98,34159
99,11766379
100,24
101,11446
102,2530274
103,1
104,102
105,14762044
106,521401
107,751011
108,77613579
109,704143
110,51
111,764702
112,58080
113,26
114,249
115,8369
116,131
117,267346
118,3816825
119,2852055
120,368954
121,6434669
122,5177911
123,29822791
124,252
125,183
126,2691938
127,495
128,1567
129,930348
130,128712
131,352429
132,249
133,15182513
134,5269029
135,467439
136,206428
137,73703185
138,54078878
139,45467
140,3044858
141,750993
142,986471
143,249
144,60308
145,27963117
146,20238
147,67
148,2224432
149,7537
150,2645433
151,12033717
152,958028
153,74400
154,80549897
155,468967
156,897239
157,269499
158,605605
159,2120032
160,2454062
161,670190
162,526
163,41252
164,205359
165,1467344
166,1698
167,356266
168,8796787
169,2462009
170,914604
171,27508
172,2
173,252
174,249
175,4189941
176,605
177,1944340
178,2
179,1586066
180,357
181,562869
182,316045
183,24
184,1157
185,27
186,251286
187,2471226
188,938853
189,103
190,495
191,74
192,12391429
193,27987
194,556614
195,17373661
196,832112
197,462831
198,495
199,28494169
200,3915337
201,22698419
202,92036
203,888228
204,2110430
205,2131414
206,118
207,3
208,668695
209,18195
210,281772
211,49
212,2309899
213,8415618
214,3174356
215,9321
216,473396
217,556630
218,19196413
219,3402050
220,10806
221,95944
222,894
223,147
224,594
225,222159
226,11538086
227,2530212
228,352943
229,322
230,532258
231,47419
232,34480
233,3264491
234,495
235,61140
236,6471212
237,76257434
238,1189851
239,875525
240,241
241,218787
242,249
243,3283592
244,10605133
245,2
246,35503
247,494482
248,3689156
249,7169143
250,19873
251,2
252,58081
253,110807
254,18034090
255,687174
256,513538
257,4136221
258,440561
259,695970
260,9068456
261,12166090
262,2020411
263,777812
264,2869
265,148
266,6826119
267,102
268,706028
269,945561
270,1009342
271,489
272,752
273,9795132
274,40480068
275,1062044
276,126022
277,9467230
278,247006
279,58
280,1923
281,991
282,1072323
283,249
284,1322
285,2726256
286,363718
287,47495
288,9234
289,249
290,495
291,43729418
292,1323251
293,1006747
294,171357
295,13912206
296,9915964
297,19160979
298,9283
299,100594
300,249
301,49
302,1146133
303,1268119
304,7736
305,90706
306,152445
307,10748618
308,173
309,49
310,2415020
311,510270
312,35
313,72
314,16885332
315,249
316,14032
317,98
318,18454
319,2851915
320,258908
321,63
322,1146227
323,182673
324,75198
325,2293538
326,1494029
327,142126
328,154651
329,1429419
330,1349760
331,1186364
332,22821743
333,143153
334,134384
335,134
336,8597
337,249
338,782719
339,4990554
340,465401
341,495
342,732570
343,715420
344,20233608
345,131013
346,25793
347,31184
348,891
349,244600
350,73
351,7167932
352,122227
353,806510
354,289231
355,1562809
356,17263010
357,249
358,3865333
359,1478
360,462980
361,53
362,420409
363,1272244
364,3987726
365,249
366,148546
367,213021
368,2263768
369,1102185
370,33872020
371,3157506
372,1070520
373,515678
374,165429
375,47506
376,465453
377,1144482
378,234779
379,167900
380,20082245
381,250
382,6432
383,479819
384,13068
385,249
386,1151
387,63619
388,168
389,17373754
390,103
391,375
392,3
393,441
394,238559
395,729040
396,13535
397,1083549
398,1481
399,249
400,2098020
401,6851
402,1046238
403,64047
404,1012358
405,4326533
406,1947164
407,19
408,1856082
409,49
410,21977
411,2
412,468011
413,223367
414,49
415,102532
416,3670835
417,13160649
418,825789
419,3954264
420,117812
421,281772
422,3403359
423,56699
424,386569
425,24608
426,1783
427,27757528
428,60188
429,495
430,1111695
431,4663
432,19419
433,825713
434,18294
435,17195
436,99813
437,2851715
438,546538
439,1153855
440,251
441,2
442,9782657
443,3113599
444,620843
445,1144314
446,11038
447,2360069
448,38517
449,305458
450,3346052
451,605
452,471110
453,380666
454,1020658
455,3622
456,1408803
457,103
458,91512
459,6960395
460,6034732
461,24
462,249
463,199797
464,595006
465,130
466,260645
467,22553888
468,6960253
469,2741817
470,758
471,9
472,711278
473,105486
474,2917570
475,252
476,259
477,137
478,6549210
479,9182
480,354447
481,1747
482,47
483,1847475
484,2964381
485,1988823
486,68329
487,4190
488,1796906
489,1720873
490,249
491,1367
492,179783
493,152177
494,21545
495,2054771
496,720555
497,15019296
498,320197
499,1500548
500,1523
501,5966698
502,42905
503,241538
504,683862
505,24624
506,4313948
507,28612128
508,39
509,200659
510,361762
511,1034168
512,178279
513,172
514,221481
515,4455249
516,1228054
517,3683
518,184888
519,48
520,3325973
521,786735
522,1093728
523,3602202
524,13352235
525,1003450
526,41850
527,14259530
528,18628
529,2453824
530,3741845
531,1
532,756
533,2391195
534,22502989
535,153
536,1200322
537,669290
538,15394
539,18228726
540,13788510
541,94352
542,96
543,6868635
544,252
545,782779
546,53062
547,2117
548,37892839
549,1130485
550,763
551,164876
552,220
553,20570713
554,2086378
555,19244589
556,692618
557,2464983
558,1782
559,1036770
560,4045587
561,514
562,3470288
563,926573
564,51678297
565,280902
566,224722
567,23940
568,14202408
569,252
570,117752
571,3925389
572,14599487
573,69916
574,33
575,328
576,667052
577,249
578,1021808
579,438069
580,382317
581,122966
582,1391878
583,3125024
584,1329523
585,6774752
586,51021
587,1086392
588,926566
589,4212812
590,1115979
591,7365
592,6397508
593,639329
594,8705510
595,70642172
596,26305
597,147724
598,96793
599,98
600,103
601,2453031
602,109783
603,3481803
604,263767
605,1153753
606,3854780
607,610
608,101
609,1492959
610,936276
611,17720
612,85949622
613,184888
614,6205214
615,450985
616,1313508
617,14260862
